,tau,kappa,beta,sigma,delta_t,avg_reward
892,13.0,100.0,0.0,7.625,3.0,19.406888491104393
893,13.0,100.0,0.0,7.625,4.0,20.504958945474467
894,13.0,100.0,0.0,7.625,5.0,12.501842545286705
895,13.0,100.0,0.0,10.0,1.0,19.49906769756324
896,13.0,100.0,0.0,10.0,2.0,18.17625559159139
897,13.0,100.0,0.0,10.0,3.0,16.10757136817323
898,13.0,100.0,0.0,10.0,4.0,15.91873098710903
899,13.0,100.0,0.0,10.0,5.0,19.438336081543653
900,13.0,100.0,0.0025,0.5,1.0,8.069334925972424
901,13.0,100.0,0.0025,0.5,2.0,8.922601542811162
902,13.0,100.0,0.0025,0.5,3.0,8.232480196106104
903,13.0,100.0,0.0025,0.5,4.0,7.249457389225972
904,13.0,100.0,0.0025,0.5,5.0,6.449021057180259
905,13.0,100.0,0.0025,2.875,1.0,26.08050210198727
906,13.0,100.0,0.0025,2.875,2.0,20.88003375066169
907,13.0,100.0,0.0025,2.875,3.0,16.176404661144726
908,13.0,100.0,0.0025,2.875,4.0,17.426428905152285
909,13.0,100.0,0.0025,2.875,5.0,14.300678165568266
910,13.0,100.0,0.0025,5.25,1.0,22.029259521865036
911,13.0,100.0,0.0025,5.25,2.0,18.179835257503903
912,13.0,100.0,0.0025,5.25,3.0,18.10502834136567
913,13.0,100.0,0.0025,5.25,4.0,12.962941314322189
914,13.0,100.0,0.0025,5.25,5.0,20.98688946426582
915,13.0,100.0,0.0025,7.625,1.0,18.18640517765383
916,13.0,100.0,0.0025,7.625,2.0,21.12695767810073
917,13.0,100.0,0.0025,7.625,3.0,12.328880561900949
918,13.0,100.0,0.0025,7.625,4.0,15.80424193681018
919,13.0,100.0,0.0025,7.625,5.0,16.2880920758186
920,13.0,100.0,0.0025,10.0,1.0,19.569432973071446
921,13.0,100.0,0.0025,10.0,2.0,20.973641564281955
922,13.0,100.0,0.0025,10.0,3.0,20.76493862868039
923,13.0,100.0,0.0025,10.0,4.0,16.73529159395652
924,13.0,100.0,0.0025,10.0,5.0,19.886790663581717
925,13.0,100.0,0.005,0.5,1.0,8.73699516320192
926,13.0,100.0,0.005,0.5,2.0,7.867844459603566
927,13.0,100.0,0.005,0.5,3.0,8.437132704088521
928,13.0,100.0,0.005,0.5,4.0,7.115612337378676
929,13.0,100.0,0.005,0.5,5.0,7.154317676840383
930,13.0,100.0,0.005,2.875,1.0,22.37833774331913
931,13.0,100.0,0.005,2.875,2.0,16.741985107976802
932,13.0,100.0,0.005,2.875,3.0,23.59103764322753
933,13.0,100.0,0.005,2.875,4.0,22.49287995195454
934,13.0,100.0,0.005,2.875,5.0,15.56647371156049
935,13.0,100.0,0.005,5.25,1.0,17.1362385541396
936,13.0,100.0,0.005,5.25,2.0,20.84416485974586
937,13.0,100.0,0.005,5.25,3.0,25.807968815915622
938,13.0,100.0,0.005,5.25,4.0,22.51508810685703
939,13.0,100.0,0.005,5.25,5.0,13.330429358862721
940,13.0,100.0,0.005,7.625,1.0,18.617076371513473
941,13.0,100.0,0.005,7.625,2.0,15.11293799954603
942,13.0,100.0,0.005,7.625,3.0,14.105284853498858
943,13.0,100.0,0.005,7.625,4.0,10.426988832757369
944,13.0,100.0,0.005,7.625,5.0,14.346002420742186
945,13.0,100.0,0.005,10.0,1.0,17.418037329325024
946,13.0,100.0,0.005,10.0,2.0,21.021899554776148
947,13.0,100.0,0.005,10.0,3.0,14.551894981860737
948,13.0,100.0,0.005,10.0,4.0,14.532848829150836
949,13.0,100.0,0.005,10.0,5.0,12.27227674783205
950,13.0,100.0,0.0075,0.5,1.0,9.278945772076703
951,13.0,100.0,0.0075,0.5,2.0,7.745509091382369
952,13.0,100.0,0.0075,0.5,3.0,10.798523075454744
953,13.0,100.0,0.0075,0.5,4.0,7.692710293327207
954,13.0,100.0,0.0075,0.5,5.0,7.505084322660517
955,13.0,100.0,0.0075,2.875,1.0,17.03262006866327
956,13.0,100.0,0.0075,2.875,2.0,11.133692266311172
957,13.0,100.0,0.0075,2.875,3.0,14.304259099665245
958,13.0,100.0,0.0075,2.875,4.0,19.946864268199096
959,13.0,100.0,0.0075,2.875,5.0,12.624992878865598
960,13.0,100.0,0.0075,5.25,1.0,17.497832499610517
961,13.0,100.0,0.0075,5.25,2.0,11.23292821475131
962,13.0,100.0,0.0075,5.25,3.0,15.497573515163591
963,13.0,100.0,0.0075,5.25,4.0,18.384277705551252
964,13.0,100.0,0.0075,5.25,5.0,19.306330644403758
965,13.0,100.0,0.0075,7.625,1.0,24.639911222391127
966,13.0,100.0,0.0075,7.625,2.0,15.883452740459342
967,13.0,100.0,0.0075,7.625,3.0,18.55669781036929
968,13.0,100.0,0.0075,7.625,4.0,13.917024374278933
969,13.0,100.0,0.0075,7.625,5.0,12.790493797164201
970,13.0,100.0,0.0075,10.0,1.0,21.625323974335288
971,13.0,100.0,0.0075,10.0,2.0,22.403017415029645
972,13.0,100.0,0.0075,10.0,3.0,17.454066294167482
973,13.0,100.0,0.0075,10.0,4.0,18.18140937887853
974,13.0,100.0,0.0075,10.0,5.0,18.68137736163721
975,13.0,100.0,0.01,0.5,1.0,7.212459669504018
976,13.0,100.0,0.01,0.5,2.0,8.057751056029614
977,13.0,100.0,0.01,0.5,3.0,8.75905424102094
978,13.0,100.0,0.01,0.5,4.0,6.885980395103459
979,13.0,100.0,0.01,0.5,5.0,8.208190183018832
980,13.0,100.0,0.01,2.875,1.0,10.756188091915577
981,13.0,100.0,0.01,2.875,2.0,17.335882798705903
982,13.0,100.0,0.01,2.875,3.0,18.887677450394712
983,13.0,100.0,0.01,2.875,4.0,12.31899382499962
984,13.0,100.0,0.01,2.875,5.0,12.554060541134907
985,13.0,100.0,0.01,5.25,1.0,17.072909532217516
986,13.0,100.0,0.01,5.25,2.0,20.73669114817079
987,13.0,100.0,0.01,5.25,3.0,18.771752256749746
988,13.0,100.0,0.01,5.25,4.0,24.10357250403504
989,13.0,100.0,0.01,5.25,5.0,15.864151966263861
990,13.0,100.0,0.01,7.625,1.0,15.712396379536978
991,13.0,100.0,0.01,7.625,2.0,22.00036759339066
992,13.0,100.0,0.01,7.625,3.0,20.620355468803446
993,13.0,100.0,0.01,7.625,4.0,15.43455917621597
994,13.0,100.0,0.01,7.625,5.0,16.287423442215903
995,13.0,100.0,0.01,10.0,1.0,19.151236550370168
996,13.0,100.0,0.01,10.0,2.0,17.90387347555083
997,13.0,100.0,0.01,10.0,3.0,12.215886291794758
998,13.0,100.0,0.01,10.0,4.0,25.616674408457964
999,13.0,100.0,0.01,10.0,5.0,24.64823918625803
1000,13.0,1000.0,0.0,0.5,1.0,7.391314139630774
1001,13.0,1000.0,0.0,0.5,2.0,7.026764215858459
1002,13.0,1000.0,0.0,0.5,3.0,8.060101965615418
1003,13.0,1000.0,0.0,0.5,4.0,6.810920526565511
1004,13.0,1000.0,0.0,0.5,5.0,8.317277289435062
1005,13.0,1000.0,0.0,2.875,1.0,21.275312761040205
1006,13.0,1000.0,0.0,2.875,2.0,19.680219591569013
1007,13.0,1000.0,0.0,2.875,3.0,16.95828347478006
1008,13.0,1000.0,0.0,2.875,4.0,11.596325190843942
1009,13.0,1000.0,0.0,2.875,5.0,14.531912747295024
1010,13.0,1000.0,0.0,5.25,1.0,18.85129811019306
1011,13.0,1000.0,0.0,5.25,2.0,13.967795906615114
1012,13.0,1000.0,0.0,5.25,3.0,13.118143345611568
1013,13.0,1000.0,0.0,5.25,4.0,19.387960461409527
1014,13.0,1000.0,0.0,5.25,5.0,13.595328143743576
1015,13.0,1000.0,0.0,7.625,1.0,14.393995989209253
1016,13.0,1000.0,0.0,7.625,2.0,20.038864006969632
1017,13.0,1000.0,0.0,7.625,3.0,16.969405909239093
1018,13.0,1000.0,0.0,7.625,4.0,25.58447258709267
1019,13.0,1000.0,0.0,7.625,5.0,22.00538879896488
1020,13.0,1000.0,0.0,10.0,1.0,16.97303050967439
1021,13.0,1000.0,0.0,10.0,2.0,15.571235789961042
1022,13.0,1000.0,0.0,10.0,3.0,13.835977071800666
1023,13.0,1000.0,0.0,10.0,4.0,19.380838339747445
1024,13.0,1000.0,0.0,10.0,5.0,13.615072750492761
1025,13.0,1000.0,0.0025,0.5,1.0,9.221111848873461
1026,13.0,1000.0,0.0025,0.5,2.0,7.395133759884578
1027,13.0,1000.0,0.0025,0.5,3.0,6.516682452709366
1028,13.0,1000.0,0.0025,0.5,4.0,7.530654020744303
1029,13.0,1000.0,0.0025,0.5,5.0,11.483045631319836
1030,13.0,1000.0,0.0025,2.875,1.0,15.345479430267229
1031,13.0,1000.0,0.0025,2.875,2.0,20.42057555344851
1032,13.0,1000.0,0.0025,2.875,3.0,22.7313004706361
1033,13.0,1000.0,0.0025,2.875,4.0,16.29597166034244
1034,13.0,1000.0,0.0025,2.875,5.0,12.677472774110516
1035,13.0,1000.0,0.0025,5.25,1.0,27.513024762518665
1036,13.0,1000.0,0.0025,5.25,2.0,17.549379670876643
1037,13.0,1000.0,0.0025,5.25,3.0,20.294882087100568
1038,13.0,1000.0,0.0025,5.25,4.0,20.696517664550946
1039,13.0,1000.0,0.0025,5.25,5.0,15.40154888275562
1040,13.0,1000.0,0.0025,7.625,1.0,14.88920551941401
1041,13.0,1000.0,0.0025,7.625,2.0,21.84108647490232
1042,13.0,1000.0,0.0025,7.625,3.0,17.01253820072338
1043,13.0,1000.0,0.0025,7.625,4.0,20.479870651542722
1044,13.0,1000.0,0.0025,7.625,5.0,11.600730635265233
1045,13.0,1000.0,0.0025,10.0,1.0,21.24644602160862
1046,13.0,1000.0,0.0025,10.0,2.0,24.515148058202147
1047,13.0,1000.0,0.0025,10.0,3.0,20.841000682161766
1048,13.0,1000.0,0.0025,10.0,4.0,17.227157088596904
1049,13.0,1000.0,0.0025,10.0,5.0,14.469468398731058
1050,13.0,1000.0,0.005,0.5,1.0,11.354569365516733
1051,13.0,1000.0,0.005,0.5,2.0,9.037013448562515
1052,13.0,1000.0,0.005,0.5,3.0,8.115870448601004
1053,13.0,1000.0,0.005,0.5,4.0,8.713597930191852
1054,13.0,1000.0,0.005,0.5,5.0,7.653552990416489
1055,13.0,1000.0,0.005,2.875,1.0,21.464492095360818
1056,13.0,1000.0,0.005,2.875,2.0,16.748122939846354
1057,13.0,1000.0,0.005,2.875,3.0,18.66677537667799
1058,13.0,1000.0,0.005,2.875,4.0,11.801671408574425
1059,13.0,1000.0,0.005,2.875,5.0,15.956618890123304
1060,13.0,1000.0,0.005,5.25,1.0,15.143317131397733
1061,13.0,1000.0,0.005,5.25,2.0,20.162225438787395
1062,13.0,1000.0,0.005,5.25,3.0,17.28335248948175
1063,13.0,1000.0,0.005,5.25,4.0,19.534080058613775
1064,13.0,1000.0,0.005,5.25,5.0,17.016407567859353
1065,13.0,1000.0,0.005,7.625,1.0,22.160264305067763
1066,13.0,1000.0,0.005,7.625,2.0,22.021358658471033
1067,13.0,1000.0,0.005,7.625,3.0,17.961395057726683
1068,13.0,1000.0,0.005,7.625,4.0,16.43168323494517
1069,13.0,1000.0,0.005,7.625,5.0,13.563945176839017
1070,13.0,1000.0,0.005,10.0,1.0,15.568148690278841
1071,13.0,1000.0,0.005,10.0,2.0,17.06974843232466
1072,13.0,1000.0,0.005,10.0,3.0,15.231898082086246
1073,13.0,1000.0,0.005,10.0,4.0,23.045531550380733
1074,13.0,1000.0,0.005,10.0,5.0,16.274201244561848
1075,13.0,1000.0,0.0075,0.5,1.0,7.629485857377145
1076,13.0,1000.0,0.0075,0.5,2.0,9.77325597809291
1077,13.0,1000.0,0.0075,0.5,3.0,6.8275557829663445
1078,13.0,1000.0,0.0075,0.5,4.0,7.6398283023130755
1079,13.0,1000.0,0.0075,0.5,5.0,8.348734558796336
1080,13.0,1000.0,0.0075,2.875,1.0,21.54757758968993
1081,13.0,1000.0,0.0075,2.875,2.0,22.357672547394944
1082,13.0,1000.0,0.0075,2.875,3.0,18.361743728191357
1083,13.0,1000.0,0.0075,2.875,4.0,16.74149563596967
1084,13.0,1000.0,0.0075,2.875,5.0,14.528866462171592
1085,13.0,1000.0,0.0075,5.25,1.0,19.664370309279658
1086,13.0,1000.0,0.0075,5.25,2.0,25.522106135678385
1087,13.0,1000.0,0.0075,5.25,3.0,19.17385687322465
1088,13.0,1000.0,0.0075,5.25,4.0,22.416918596724877
1089,13.0,1000.0,0.0075,5.25,5.0,13.169939666252365
1090,13.0,1000.0,0.0075,7.625,1.0,18.344746460303654
1091,13.0,1000.0,0.0075,7.625,2.0,21.09166784207616
1092,13.0,1000.0,0.0075,7.625,3.0,9.606658634079775
1093,13.0,1000.0,0.0075,7.625,4.0,25.91248217985135
1094,13.0,1000.0,0.0075,7.625,5.0,12.128974917532137
1095,13.0,1000.0,0.0075,10.0,1.0,16.06739102159555
1096,13.0,1000.0,0.0075,10.0,2.0,17.652759519680973
1097,13.0,1000.0,0.0075,10.0,3.0,11.281819487661426
1098,13.0,1000.0,0.0075,10.0,4.0,11.73238243805392
1099,13.0,1000.0,0.0075,10.0,5.0,21.236162128125038
1100,13.0,1000.0,0.01,0.5,1.0,9.6657783019674
1101,13.0,1000.0,0.01,0.5,2.0,8.76414886214123
1102,13.0,1000.0,0.01,0.5,3.0,9.778808291216015
1103,13.0,1000.0,0.01,0.5,4.0,7.710626513393753
1104,13.0,1000.0,0.01,0.5,5.0,7.111680144596917
1105,13.0,1000.0,0.01,2.875,1.0,19.10212705068565
1106,13.0,1000.0,0.01,2.875,2.0,12.386431306857006
1107,13.0,1000.0,0.01,2.875,3.0,17.25819607723662
1108,13.0,1000.0,0.01,2.875,4.0,21.9183083930474
1109,13.0,1000.0,0.01,2.875,5.0,22.349577569239095
1110,13.0,1000.0,0.01,5.25,1.0,18.623905573857034
1111,13.0,1000.0,0.01,5.25,2.0,15.942901557286689
1112,13.0,1000.0,0.01,5.25,3.0,14.794996451108679
1113,13.0,1000.0,0.01,5.25,4.0,16.067935074631578
1114,13.0,1000.0,0.01,5.25,5.0,19.882239468228263
1115,13.0,1000.0,0.01,7.625,1.0,11.511543844919753
1116,13.0,1000.0,0.01,7.625,2.0,22.432275305837415
1117,13.0,1000.0,0.01,7.625,3.0,19.660344785680046
1118,13.0,1000.0,0.01,7.625,4.0,18.586841632135126
1119,13.0,1000.0,0.01,7.625,5.0,11.65667724786245
1120,13.0,1000.0,0.01,10.0,1.0,21.999367461646383
1121,13.0,1000.0,0.01,10.0,2.0,15.52365259020253
1122,13.0,1000.0,0.01,10.0,3.0,19.077913769861418
1123,13.0,1000.0,0.01,10.0,4.0,18.480419995012205
1124,13.0,1000.0,0.01,10.0,5.0,6.232758614963081
1125,13.0,10000.0,0.0,0.5,1.0,8.755642889621956
1126,13.0,10000.0,0.0,0.5,2.0,10.413090295606985
1127,13.0,10000.0,0.0,0.5,3.0,5.089613912813453
1128,13.0,10000.0,0.0,0.5,4.0,7.271011506329015
1129,13.0,10000.0,0.0,0.5,5.0,6.214750368906657
1130,13.0,10000.0,0.0,2.875,1.0,12.309330077570309
1131,13.0,10000.0,0.0,2.875,2.0,24.879085039993267
1132,13.0,10000.0,0.0,2.875,3.0,15.973094561350646
1133,13.0,10000.0,0.0,2.875,4.0,17.856084743883365
1134,13.0,10000.0,0.0,2.875,5.0,14.091370960023553
1135,13.0,10000.0,0.0,5.25,1.0,16.166638077289907
1136,13.0,10000.0,0.0,5.25,2.0,17.78380767881481
1137,13.0,10000.0,0.0,5.25,3.0,13.219048366218882
1138,13.0,10000.0,0.0,5.25,4.0,18.8090534473336
1139,13.0,10000.0,0.0,5.25,5.0,14.20086682353805
1140,13.0,10000.0,0.0,7.625,1.0,15.219494587674527
1141,13.0,10000.0,0.0,7.625,2.0,17.072454252931827
1142,13.0,10000.0,0.0,7.625,3.0,17.85722651121618
1143,13.0,10000.0,0.0,7.625,4.0,18.333178650064767
1144,13.0,10000.0,0.0,7.625,5.0,13.17713969180058
1145,13.0,10000.0,0.0,10.0,1.0,19.998763792661325
1146,13.0,10000.0,0.0,10.0,2.0,23.893385473607417
1147,13.0,10000.0,0.0,10.0,3.0,25.85093317366171
1148,13.0,10000.0,0.0,10.0,4.0,12.912926451900756
1149,13.0,10000.0,0.0,10.0,5.0,17.202439860765548
1150,13.0,10000.0,0.0025,0.5,1.0,8.246324813753864
1151,13.0,10000.0,0.0025,0.5,2.0,6.987148518839656
1152,13.0,10000.0,0.0025,0.5,3.0,9.502462508811425
1153,13.0,10000.0,0.0025,0.5,4.0,8.165644671685467
1154,13.0,10000.0,0.0025,0.5,5.0,6.277741585644122
1155,13.0,10000.0,0.0025,2.875,1.0,22.810320808128843
1156,13.0,10000.0,0.0025,2.875,2.0,19.669746830656912
1157,13.0,10000.0,0.0025,2.875,3.0,19.107162409859445
1158,13.0,10000.0,0.0025,2.875,4.0,18.094782070595866
1159,13.0,10000.0,0.0025,2.875,5.0,15.085009620147346
1160,13.0,10000.0,0.0025,5.25,1.0,16.66474419569833
1161,13.0,10000.0,0.0025,5.25,2.0,17.46214940007831
1162,13.0,10000.0,0.0025,5.25,3.0,10.74490239822841
1163,13.0,10000.0,0.0025,5.25,4.0,19.868284216257763
1164,13.0,10000.0,0.0025,5.25,5.0,20.815367725969672
1165,13.0,10000.0,0.0025,7.625,1.0,18.05693625950476
1166,13.0,10000.0,0.0025,7.625,2.0,25.02740043208522
1167,13.0,10000.0,0.0025,7.625,3.0,17.798043726092594
1168,13.0,10000.0,0.0025,7.625,4.0,16.849822456123693
1169,13.0,10000.0,0.0025,7.625,5.0,18.384798187885586
1170,13.0,10000.0,0.0025,10.0,1.0,16.68889309490323
1171,13.0,10000.0,0.0025,10.0,2.0,14.147051222166231
1172,13.0,10000.0,0.0025,10.0,3.0,18.169060543019235
1173,13.0,10000.0,0.0025,10.0,4.0,16.430009460981008
1174,13.0,10000.0,0.0025,10.0,5.0,14.931753940186079
1175,13.0,10000.0,0.005,0.5,1.0,11.180833349029921
1176,13.0,10000.0,0.005,0.5,2.0,8.257644616206964
1177,13.0,10000.0,0.005,0.5,3.0,7.764204513510061
1178,13.0,10000.0,0.005,0.5,4.0,8.416560883168739
1179,13.0,10000.0,0.005,0.5,5.0,7.8975656717443625
1180,13.0,10000.0,0.005,2.875,1.0,17.2105904012699
1181,13.0,10000.0,0.005,2.875,2.0,21.37912387898512
1182,13.0,10000.0,0.005,2.875,3.0,21.36318301807717
1183,13.0,10000.0,0.005,2.875,4.0,21.132955349123268
1184,13.0,10000.0,0.005,2.875,5.0,8.790343162664994
1185,13.0,10000.0,0.005,5.25,1.0,13.8100674822203
1186,13.0,10000.0,0.005,5.25,2.0,17.25733544145072
1187,13.0,10000.0,0.005,5.25,3.0,18.05355588699472
1188,13.0,10000.0,0.005,5.25,4.0,20.53043131457213
1189,13.0,10000.0,0.005,5.25,5.0,15.193511535336384
1190,13.0,10000.0,0.005,7.625,1.0,16.417149126118368
1191,13.0,10000.0,0.005,7.625,2.0,19.81424947729213
1192,13.0,10000.0,0.005,7.625,3.0,17.72313506190176
1193,13.0,10000.0,0.005,7.625,4.0,14.845335059321528
1194,13.0,10000.0,0.005,7.625,5.0,13.755791935287096
1195,13.0,10000.0,0.005,10.0,1.0,14.398312120082988
1196,13.0,10000.0,0.005,10.0,2.0,12.074987381989342
1197,13.0,10000.0,0.005,10.0,3.0,17.991123383626423
1198,13.0,10000.0,0.005,10.0,4.0,13.66314686487701
1199,13.0,10000.0,0.005,10.0,5.0,11.784924141085877
1200,13.0,10000.0,0.0075,0.5,1.0,8.083143624897522
1201,13.0,10000.0,0.0075,0.5,2.0,7.529733436383424
1202,13.0,10000.0,0.0075,0.5,3.0,6.415822042833827
1203,13.0,10000.0,0.0075,0.5,4.0,8.331850905401101
1204,13.0,10000.0,0.0075,0.5,5.0,8.03423869836615
1205,13.0,10000.0,0.0075,2.875,1.0,21.686688376434763
1206,13.0,10000.0,0.0075,2.875,2.0,24.895915733840205
1207,13.0,10000.0,0.0075,2.875,3.0,21.901715491233045
1208,13.0,10000.0,0.0075,2.875,4.0,17.786218060642845
1209,13.0,10000.0,0.0075,2.875,5.0,15.328091110264452
1210,13.0,10000.0,0.0075,5.25,1.0,14.396427476000067
1211,13.0,10000.0,0.0075,5.25,2.0,13.291964074196056
1212,13.0,10000.0,0.0075,5.25,3.0,18.251356081367256
1213,13.0,10000.0,0.0075,5.25,4.0,20.847469355862835
1214,13.0,10000.0,0.0075,5.25,5.0,13.81990045292785
1215,13.0,10000.0,0.0075,7.625,1.0,20.2079146142654
1216,13.0,10000.0,0.0075,7.625,2.0,22.998072958367846
1217,13.0,10000.0,0.0075,7.625,3.0,20.481229173459788
1218,13.0,10000.0,0.0075,7.625,4.0,18.568084570276973
1219,13.0,10000.0,0.0075,7.625,5.0,12.525346457621627
1220,13.0,10000.0,0.0075,10.0,1.0,19.06732181709934
1221,13.0,10000.0,0.0075,10.0,2.0,21.83894643281032
1222,13.0,10000.0,0.0075,10.0,3.0,20.008411635774134
1223,13.0,10000.0,0.0075,10.0,4.0,13.180805296957535
1224,13.0,10000.0,0.0075,10.0,5.0,16.84187185388773
1225,13.0,10000.0,0.01,0.5,1.0,6.199140585710778
1226,13.0,10000.0,0.01,0.5,2.0,8.598856675617922
1227,13.0,10000.0,0.01,0.5,3.0,8.517439081297073
1228,13.0,10000.0,0.01,0.5,4.0,7.439884374998451
1229,13.0,10000.0,0.01,0.5,5.0,7.893187063623491
1230,13.0,10000.0,0.01,2.875,1.0,13.782879649011274
1231,13.0,10000.0,0.01,2.875,2.0,20.41134252582863
1232,13.0,10000.0,0.01,2.875,3.0,19.011876443775783
1233,13.0,10000.0,0.01,2.875,4.0,12.550320261049116
1234,13.0,10000.0,0.01,2.875,5.0,16.067248718860704
1235,13.0,10000.0,0.01,5.25,1.0,19.152961328448924
1236,13.0,10000.0,0.01,5.25,2.0,15.400960411707445
1237,13.0,10000.0,0.01,5.25,3.0,19.095746648051122
1238,13.0,10000.0,0.01,5.25,4.0,18.03754548836045
1239,13.0,10000.0,0.01,5.25,5.0,16.01454329188664
1240,13.0,10000.0,0.01,7.625,1.0,19.243800867491476
1241,13.0,10000.0,0.01,7.625,2.0,16.83731768769024
1242,13.0,10000.0,0.01,7.625,3.0,10.094775918602675
1243,13.0,10000.0,0.01,7.625,4.0,15.661250640397673
1244,13.0,10000.0,0.01,7.625,5.0,9.211200456893314
1245,13.0,10000.0,0.01,10.0,1.0,16.763576409291204
1246,13.0,10000.0,0.01,10.0,2.0,27.31005733410209
1247,13.0,10000.0,0.01,10.0,3.0,16.5603912450352
1248,13.0,10000.0,0.01,10.0,4.0,18.305099418053892
1249,13.0,10000.0,0.01,10.0,5.0,14.237324222167743
1250,25.0,1.0,0.0,0.5,1.0,1.0312030717493124
1251,25.0,1.0,0.0,0.5,2.0,0.7879481800580634
1252,25.0,1.0,0.0,0.5,3.0,0.73442645500985
1253,25.0,1.0,0.0,0.5,4.0,0.7771461985409787
1254,25.0,1.0,0.0,0.5,5.0,0.412969824790672
1255,25.0,1.0,0.0,2.875,1.0,5.957086955651929
1256,25.0,1.0,0.0,2.875,2.0,7.3401385150050515
1257,25.0,1.0,0.0,2.875,3.0,2.7280514419778887
1258,25.0,1.0,0.0,2.875,4.0,6.581731188422717
1259,25.0,1.0,0.0,2.875,5.0,7.088170320393291
1260,25.0,1.0,0.0,5.25,1.0,8.619524771478519
1261,25.0,1.0,0.0,5.25,2.0,10.743593588490839
1262,25.0,1.0,0.0,5.25,3.0,6.03811676141271
1263,25.0,1.0,0.0,5.25,4.0,7.047454187123051
1264,25.0,1.0,0.0,5.25,5.0,7.626776319885709
1265,25.0,1.0,0.0,7.625,1.0,4.340972664406113
1266,25.0,1.0,0.0,7.625,2.0,4.1343207749903845
1267,25.0,1.0,0.0,7.625,3.0,6.733075716190126
1268,25.0,1.0,0.0,7.625,4.0,10.965238512437214
1269,25.0,1.0,0.0,7.625,5.0,9.395182904182258
1270,25.0,1.0,0.0,10.0,1.0,8.26941376282086
1271,25.0,1.0,0.0,10.0,2.0,9.145322733533458
1272,25.0,1.0,0.0,10.0,3.0,12.417421951250182
1273,25.0,1.0,0.0,10.0,4.0,8.1180919276851
1274,25.0,1.0,0.0,10.0,5.0,8.513345398183988
1275,25.0,1.0,0.0025,0.5,1.0,0.7578774441102565
1276,25.0,1.0,0.0025,0.5,2.0,0.4422601770891427
1277,25.0,1.0,0.0025,0.5,3.0,0.4734766752719809
1278,25.0,1.0,0.0025,0.5,4.0,0.4542676192194575
1279,25.0,1.0,0.0025,0.5,5.0,0.4055991813831847
1280,25.0,1.0,0.0025,2.875,1.0,4.090402039521024
1281,25.0,1.0,0.0025,2.875,2.0,5.27256948523977
1282,25.0,1.0,0.0025,2.875,3.0,2.1436746738850045
1283,25.0,1.0,0.0025,2.875,4.0,5.081672603202217
1284,25.0,1.0,0.0025,2.875,5.0,4.936944705082971
1285,25.0,1.0,0.0025,5.25,1.0,11.120798087806104
1286,25.0,1.0,0.0025,5.25,2.0,5.572644796910362
1287,25.0,1.0,0.0025,5.25,3.0,5.425539018185264
1288,25.0,1.0,0.0025,5.25,4.0,7.06091187757611
1289,25.0,1.0,0.0025,5.25,5.0,9.616786087498832
1290,25.0,1.0,0.0025,7.625,1.0,8.91719912891185
1291,25.0,1.0,0.0025,7.625,2.0,9.669375273623158
1292,25.0,1.0,0.0025,7.625,3.0,6.780117912014599
1293,25.0,1.0,0.0025,7.625,4.0,3.686164591628227
1294,25.0,1.0,0.0025,7.625,5.0,7.016619088740628
1295,25.0,1.0,0.0025,10.0,1.0,7.675992606914734
1296,25.0,1.0,0.0025,10.0,2.0,9.507836818636694
1297,25.0,1.0,0.0025,10.0,3.0,8.732638731410116
1298,25.0,1.0,0.0025,10.0,4.0,7.1886031524952045
1299,25.0,1.0,0.0025,10.0,5.0,13.036995526241038
1300,25.0,1.0,0.005,0.5,1.0,0.6899318771789515
1301,25.0,1.0,0.005,0.5,2.0,0.6458435973568537
1302,25.0,1.0,0.005,0.5,3.0,0.5395246057002754
1303,25.0,1.0,0.005,0.5,4.0,0.3161484744013018
1304,25.0,1.0,0.005,0.5,5.0,0.586418726108672
1305,25.0,1.0,0.005,2.875,1.0,9.703674101499754
1306,25.0,1.0,0.005,2.875,2.0,5.057058738606885
1307,25.0,1.0,0.005,2.875,3.0,0.5756788794830852
1308,25.0,1.0,0.005,2.875,4.0,3.892958944194343
1309,25.0,1.0,0.005,2.875,5.0,5.886450560958183
1310,25.0,1.0,0.005,5.25,1.0,7.322517156925644
1311,25.0,1.0,0.005,5.25,2.0,7.218520754759856
1312,25.0,1.0,0.005,5.25,3.0,8.320645162819725
1313,25.0,1.0,0.005,5.25,4.0,5.707055447987132
1314,25.0,1.0,0.005,5.25,5.0,6.5984255296795045
1315,25.0,1.0,0.005,7.625,1.0,11.942304398726268
1316,25.0,1.0,0.005,7.625,2.0,6.063761047510206
1317,25.0,1.0,0.005,7.625,3.0,4.040187826389388
1318,25.0,1.0,0.005,7.625,4.0,11.442104418398868
1319,25.0,1.0,0.005,7.625,5.0,8.41072805135351
1320,25.0,1.0,0.005,10.0,1.0,14.217138066676526
1321,25.0,1.0,0.005,10.0,2.0,5.505183449272899
1322,25.0,1.0,0.005,10.0,3.0,7.153172241511433
1323,25.0,1.0,0.005,10.0,4.0,10.693965402674355
1324,25.0,1.0,0.005,10.0,5.0,5.533460589837108
1325,25.0,1.0,0.0075,0.5,1.0,0.8405973097483475
1326,25.0,1.0,0.0075,0.5,2.0,0.4990861932955267
1327,25.0,1.0,0.0075,0.5,3.0,0.7126317990509896
1328,25.0,1.0,0.0075,0.5,4.0,0.3800700185422932
1329,25.0,1.0,0.0075,0.5,5.0,0.539730975997283
1330,25.0,1.0,0.0075,2.875,1.0,5.123583958350148
