,tau,kappa,beta,sigma,delta_t,avg_reward
123,1.0,1.0,0.01,10.0,4.0,2.4788364994613077
124,1.0,1.0,0.01,10.0,5.0,2.0358830593848647
125,1.0,10.0,0.0,0.5,1.0,1.8639822157710415
126,1.0,10.0,0.0,0.5,2.0,1.8878351079436346
127,1.0,10.0,0.0,0.5,3.0,2.019525431851789
128,1.0,10.0,0.0,0.5,4.0,2.374482057908567
129,1.0,10.0,0.0,0.5,5.0,2.457164529258475
130,1.0,10.0,0.0,2.875,1.0,2.1591631607435064
131,1.0,10.0,0.0,2.875,2.0,2.3186016738826174
132,1.0,10.0,0.0,2.875,3.0,2.34292911613901
133,1.0,10.0,0.0,2.875,4.0,2.283905132681872
134,1.0,10.0,0.0,2.875,5.0,2.4172052086629803
135,1.0,10.0,0.0,5.25,1.0,2.48011477145241
136,1.0,10.0,0.0,5.25,2.0,2.157720455914654
137,1.0,10.0,0.0,5.25,3.0,2.613482973174798
138,1.0,10.0,0.0,5.25,4.0,2.520633609849404
139,1.0,10.0,0.0,5.25,5.0,2.4280216520899405
140,1.0,10.0,0.0,7.625,1.0,1.809610042258782
141,1.0,10.0,0.0,7.625,2.0,2.04630337027165
142,1.0,10.0,0.0,7.625,3.0,2.3669943515363885
143,1.0,10.0,0.0,7.625,4.0,2.093758976528472
144,1.0,10.0,0.0,7.625,5.0,2.131463739843334
145,1.0,10.0,0.0,10.0,1.0,2.2195513080934433
146,1.0,10.0,0.0,10.0,2.0,2.4010933066028968
147,1.0,10.0,0.0,10.0,3.0,1.8995096273485683
148,1.0,10.0,0.0,10.0,4.0,2.045923217766927
149,1.0,10.0,0.0,10.0,5.0,2.3272101756010497
150,1.0,10.0,0.0025,0.5,1.0,2.3327426783773726
151,1.0,10.0,0.0025,0.5,2.0,2.4073302113910153
152,1.0,10.0,0.0025,0.5,3.0,2.3120093877165155
153,1.0,10.0,0.0025,0.5,4.0,2.2099365357300966
154,1.0,10.0,0.0025,0.5,5.0,2.2773171710579865
155,1.0,10.0,0.0025,2.875,1.0,2.0967517933826594
156,1.0,10.0,0.0025,2.875,2.0,2.069734356190056
157,1.0,10.0,0.0025,2.875,3.0,2.75264377585262
158,1.0,10.0,0.0025,2.875,4.0,2.0243853447059936
159,1.0,10.0,0.0025,2.875,5.0,2.309874472240319
160,1.0,10.0,0.0025,5.25,1.0,2.004015608402688
161,1.0,10.0,0.0025,5.25,2.0,2.3012481931873223
162,1.0,10.0,0.0025,5.25,3.0,2.1707601922899338
163,1.0,10.0,0.0025,5.25,4.0,2.236290482339452
164,1.0,10.0,0.0025,5.25,5.0,2.1268344453688064
165,1.0,10.0,0.0025,7.625,1.0,2.54423966861767
166,1.0,10.0,0.0025,7.625,2.0,2.554873013311151
167,1.0,10.0,0.0025,7.625,3.0,1.9674507046267375
168,1.0,10.0,0.0025,7.625,4.0,2.3108609347791944
169,1.0,10.0,0.0025,7.625,5.0,2.268238586046237
170,1.0,10.0,0.0025,10.0,1.0,2.0231977696126453
171,1.0,10.0,0.0025,10.0,2.0,1.9934255180847384
172,1.0,10.0,0.0025,10.0,3.0,1.8230807025762954
173,1.0,10.0,0.0025,10.0,4.0,2.32671241623132
174,1.0,10.0,0.0025,10.0,5.0,2.0155488564701605
175,1.0,10.0,0.005,0.5,1.0,2.243821051176129
176,1.0,10.0,0.005,0.5,2.0,2.0226714200659033
177,1.0,10.0,0.005,0.5,3.0,2.3995738797528428
178,1.0,10.0,0.005,0.5,4.0,2.184793740003469
179,1.0,10.0,0.005,0.5,5.0,2.2216303498092005
180,1.0,10.0,0.005,2.875,1.0,2.475666169371794
181,1.0,10.0,0.005,2.875,2.0,2.3455046757536775
182,1.0,10.0,0.005,2.875,3.0,2.006127300885358
183,1.0,10.0,0.005,2.875,4.0,2.28064170538033
184,1.0,10.0,0.005,2.875,5.0,2.633371991583443
185,1.0,10.0,0.005,5.25,1.0,2.017143695237851
186,1.0,10.0,0.005,5.25,2.0,2.219676891714083
187,1.0,10.0,0.005,5.25,3.0,2.3542628672951693
188,1.0,10.0,0.005,5.25,4.0,2.2252876586957524
189,1.0,10.0,0.005,5.25,5.0,2.191114426540042
190,1.0,10.0,0.005,7.625,1.0,2.3299243778880245
191,1.0,10.0,0.005,7.625,2.0,2.3485753194708985
192,1.0,10.0,0.005,7.625,3.0,2.370420428704007
193,1.0,10.0,0.005,7.625,4.0,2.265244035234916
194,1.0,10.0,0.005,7.625,5.0,2.305685977552049
195,1.0,10.0,0.005,10.0,1.0,2.1841169848232367
196,1.0,10.0,0.005,10.0,2.0,2.291759328292534
197,1.0,10.0,0.005,10.0,3.0,2.20635049075404
198,1.0,10.0,0.005,10.0,4.0,2.5829345077561734
199,1.0,10.0,0.005,10.0,5.0,2.1247906762559086
200,1.0,10.0,0.0075,0.5,1.0,1.91697621599235
201,1.0,10.0,0.0075,0.5,2.0,2.1495610816547175
202,1.0,10.0,0.0075,0.5,3.0,2.2625476002653087
203,1.0,10.0,0.0075,0.5,4.0,2.038404441573321
204,1.0,10.0,0.0075,0.5,5.0,2.226463892626313
205,1.0,10.0,0.0075,2.875,1.0,2.150934042439098
206,1.0,10.0,0.0075,2.875,2.0,2.4007799972563335
207,1.0,10.0,0.0075,2.875,3.0,2.5499811076437098
208,1.0,10.0,0.0075,2.875,4.0,2.207661579302079
209,1.0,10.0,0.0075,2.875,5.0,2.0193114481402836
210,1.0,10.0,0.0075,5.25,1.0,1.9824899662832152
211,1.0,10.0,0.0075,5.25,2.0,2.208543347768571
212,1.0,10.0,0.0075,5.25,3.0,2.4379360542707245
213,1.0,10.0,0.0075,5.25,4.0,2.035279418053535
214,1.0,10.0,0.0075,5.25,5.0,1.9915399423234603
215,1.0,10.0,0.0075,7.625,1.0,2.2228329137569895
216,1.0,10.0,0.0075,7.625,2.0,1.9386192339671537
217,1.0,10.0,0.0075,7.625,3.0,2.2762329384119457
218,1.0,10.0,0.0075,7.625,4.0,2.0414128580866024
219,1.0,10.0,0.0075,7.625,5.0,2.2290582246427193
220,1.0,10.0,0.0075,10.0,1.0,2.145976060377838
221,1.0,10.0,0.0075,10.0,2.0,2.1018323841183357
222,1.0,10.0,0.0075,10.0,3.0,2.2361036391881717
223,1.0,10.0,0.0075,10.0,4.0,2.394054761949766
224,1.0,10.0,0.0075,10.0,5.0,2.646868952893371
225,1.0,10.0,0.01,0.5,1.0,2.4389207625081197
226,1.0,10.0,0.01,0.5,2.0,2.4417138515981116
227,1.0,10.0,0.01,0.5,3.0,2.172000367633109
228,1.0,10.0,0.01,0.5,4.0,2.18716042385556
229,1.0,10.0,0.01,0.5,5.0,2.2542057215225313
230,1.0,10.0,0.01,2.875,1.0,2.323721245379192
231,1.0,10.0,0.01,2.875,2.0,2.219012679969007
232,1.0,10.0,0.01,2.875,3.0,2.1534945793474543
233,1.0,10.0,0.01,2.875,4.0,2.006804224520507
234,1.0,10.0,0.01,2.875,5.0,1.9576278649381564
235,1.0,10.0,0.01,5.25,1.0,2.04957313604434
236,1.0,10.0,0.01,5.25,2.0,2.645763524554582
237,1.0,10.0,0.01,5.25,3.0,2.497512089930523
238,1.0,10.0,0.01,5.25,4.0,2.030051914828577
239,1.0,10.0,0.01,5.25,5.0,2.137071774981287
240,1.0,10.0,0.01,7.625,1.0,1.9826137786422287
241,1.0,10.0,0.01,7.625,2.0,2.267078296312613
242,1.0,10.0,0.01,7.625,3.0,2.2006731904631245
243,1.0,10.0,0.01,7.625,4.0,2.1431830714203093
244,1.0,10.0,0.01,7.625,5.0,2.198065465142135
245,1.0,10.0,0.01,10.0,1.0,2.0172899953892887
246,1.0,10.0,0.01,10.0,2.0,1.8949787196438757
247,1.0,10.0,0.01,10.0,3.0,2.2967390417066005
248,1.0,10.0,0.01,10.0,4.0,2.2405864970000917
249,1.0,10.0,0.01,10.0,5.0,1.9448937794269283
250,1.0,100.0,0.0,0.5,1.0,2.2181821296582904
251,1.0,100.0,0.0,0.5,2.0,2.3647390451330152
252,1.0,100.0,0.0,0.5,3.0,2.119170615975732
253,1.0,100.0,0.0,0.5,4.0,2.4237953284525395
